taxi_id,trip_start_time,trip_end_time,payment_type,trip_miles,fare,tips,trip_total
500dc1067ef9552f6baf41013ddf9ecb1b6288f0,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,12.06,31.0,7.1,42.6
1579655192da07ea0bfad29704f2708e74577781,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Unknown,0.3,17.0,0.0,17.0
656642885d5f43de676fb69bbaf8d5216c3c1cd8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,17.29,42.25,15.52,67.27
164852553d08c73ccdb97679325401cccf60501a,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,4.26,13.25,3.55,21.3
c0da8116133d8c5e5e9d7be142b4428eb4e7e704,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,12.26,32.0,7.3,43.8
65fd836113097ac732c5e15aaf3c962eb25abbd6,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,12.4,32.25,7.35,43.6
592e652eb707bdc5533b999b2b978e6763a6794f,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Mobile,6.45,18.0,3.0,27.5
d7209b04963b52b7ac5e93540e58a074504e22ae,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,0.04,3.75,0.0,40.25
16b1159dded770b118ef901dd47c357953518609,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,10.12,26.5,0.0,31.5
501ea43605945fe4f748cf08428215d8d6c7b24a,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,18.09,44.5,7.35,56.35
636b3b8bc815baf0f11ed5d7de2777afffbd4f23,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,0.5,4.75,0.0,4.75
e1afcc38889cbd359096aed1bb62ea8036685154,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,18.53,46.5,0.0,52.0
871bcff125bd5890a0b7ebee7bbfd9ca924df4c1,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,11.5,29.5,6.8,40.3
7f0dd33249a7c726d9d40fd444efd3c199a5eab5,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,17.31,42.5,5.0,55.0
c9f1b4067e84692d6983801155b3bc7a2c213783,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,0.0,30.0,6.1,36.6
34715956a5ea31698310ac87aab54f56e833c9ec,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,0.1,10.25,2.35,13.6
bf3ef480bc349fe325d908d17fc70c2f8b701344,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,7.3,21.75,0.0,21.75
32657fc207bef80ebfe1c2959c104925b068abe9,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Unknown,11.4,29.5,0.0,29.5
e0a7ea2e8c9012a17e7e3fa419ea6a8ea99f57ef,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,1.24,6.5,3.0,10.0
6cc1f9df927a085fc329abcbc76766fc9d2972fa,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,16.22,39.75,6.64,50.89
f0a451bca4421bf8161ba3062c45efeae7645234,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Unknown,0.6,29.0,0.0,29.0
fa61f8fca4ed4d1f12aab1957b0a16cf85a30703,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,15.46,40.25,8.95,53.7
1b3f2403f22e8fdfcf32cfb233916f95e3eeff33,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Mobile,5.72,14.77,0.0,14.77
08799941745c46e716b9912260fcc635eb1d4f14,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,0.5,4.75,2.0,7.25
a683eec1f8679550d37a2ee640dcd2db5435cf00,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,14.1,36.0,8.05,48.05
23ef02b9931eb58ce85b798491a2179d82648af5,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,13.38,34.25,7.75,46.5
662ab77cd20061ec15f03273ee5a8d610abc8d2c,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,5.6,30.5,8.75,43.25
5cf3759d750180ef93f052de1cf1d72ddaadb937,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,0.0,64.9,0.0,64.9
c9b549fb4e1ba42bf7780d7b5c59ada3d866bd07,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,18.33,45.5,0.0,53.5
0f3ef2569cf93748a867bcf1c9bfccd7a1080c1d,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,15.7,40.5,13.6,81.1
f8013feb94f853ca98e1b3cedbf8ce256675ce96,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,17.39,42.75,0.0,46.75
9c7edf2d3a69067344272cdacbd349f460c907c3,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Mobile,17.17,41.75,9.45,56.7
cbb02ca7142aee13a3ae233b440696af5ae8cfa8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,1.0,41.5,9.2,54.7
9830f97cb52c683c38eb4f4c9173b0ef966eacb8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,2.08,9.5,0.0,9.5
d8a6dd1e7b9ed7ccb530b3e954049ff96a72878e,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,16.26,37.25,0.0,37.25
117033cbeab16cdb962594a55cf27e3bf15c1dd8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,17.26,42.5,3.0,50.0
abfedf4ad72174a5a771275cf61d349b1166daae,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,17.81,43.75,0.0,43.75
ecaa0ca9b698abf87ac6b75d753db54ca9447e2f,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,20.26,49.0,13.5,67.5
d8eecbd8f81928748295c529956e34ec1774c064,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,0.0,3.25,0.0,18.25
bcaa1e4e021964342df9e266ed0f84565ff50101,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,8.79,23.75,4.24,32.49
af712ef8f663dc481628dd7c6c67e80c7c481755,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,15.05,38.0,8.5,51.0
46a69ed79cc8226b895ba5f85ef54fb7589c8821,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Cash,1.5,6.75,0.0,6.75
45190481b1988dbfb0b5f98488b9c60cbb00258b,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,1.1,44.5,9.8,58.3
9df4a00565b979e7d300da572b1b06c559580bcf,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Cash,1.6,7.5,0.0,7.5
2c5f1a9f529c9e1fcd17a2f8ce103c91b848cbc2,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,12.96,33.5,10.0,48.0
11980327bf7cebd798757be6042e0540457acd02,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,2.7,10.0,0.0,15.0
a0fbe14a4e851793116861a5337eedcfe5bcd9de,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,Credit Card,0.9,6.0,4.0,12.0
bc383a16f559e879c3b892aa3c4d5095960f68b8,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Unknown,0.6,30.25,0.0,30.25
c186ff11e378c5bf1c06cf99953eb30468dbd957,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,17.02,42.25,6.0,52.75
9b3f04da1a76c99c6de583bf424f781dd06fd754,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Mobile,13.62,34.25,7.24,47.49
37e87b61d43d57d58f56611591c7f1733d066b0e,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:00:00.000000 UTC,No Charge,2.6,10.0,0.0,16.5
42553a271e6f00485a3c71421d86c9c8b078b65d,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Prcard,12.65,32.75,0.0,32.75
fecfaeb2101d51d30bce22e30ba9f9cfe44b42c7,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,12.0,30.5,7.2,42.7
ef181466e2b683d18e4efed50999c26992ad8c44,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Unknown,3.4,12.5,0.0,12.5
676c5eb3eeca7f057d610b550eb73cc70ecb4d8f,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,15.06,38.0,6.38,48.88
e1dfb7236e751734f096b107b4d43a1bbaaf137f,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,13.0,33.5,7.8,46.3
6117a9d55208b1bc99793b49fb41880c87fb87cf,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,12.38,32.0,0.0,37.0
f5580c395bcaba3b01fafe73a059ce7d6b20ab02,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,3.33,12.0,0.0,23.0
82d14bf9575d406750599c81a21131bf66d52968,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,1.0,66.25,14.15,84.4
538216a5215deff97dc638303f285435621a68bf,2023-03-01 00:00:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,0.85,9.0,4.0,13.5
75ff2feb92bbcd73884b48622874926ebcbc191d,2023-03-01 00:15:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Cash,34.07,81.25,0.0,86.25
1a57f3e6d3bace2d10e273aafbe5eaeca33f369b,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,4.93,15.0,0.0,19.0
84d724d453371f5082afa546b564574640f9456d,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,12.41,32.5,0.0,36.5
268d5afb62f3e58e68425ce2e18eef41bdf1c1c7,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Unknown,0.4,18.25,0.0,18.25
03b407523f0c46603fddbd542744deb2ca39441e,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,11.68,30.25,0.0,34.25
15e73baebf266038aa4e8ff83449c46741a407ae,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,1.7,8.5,2.0,11.5
8e7c42527cb82131839ab12a34d6c04381d616c5,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Mobile,16.44,40.5,6.75,51.75
16ca1b23ba781a9dbafd167c9b16a98618c6e3a3,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,17.23,42.25,7.16,54.91
652d8979ea8cae5bdcec836a986837d0b16d26df,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,0.0,35.0,0.0,35.0
35c24051fa221bfbf2d10e92644311291224bb05,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,13.92,35.5,8.0,48.0
61925ddfd221dd4a2852009200a1cb0d40518efb,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,1.0,40.5,11.25,55.75
fe3ca2382cbd66caedddc6547a57266c40f7c594,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,15.91,39.5,11.25,56.25
0cb77175db8a1d30656163375921506350a661ad,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,5.88,15.85,0.0,15.85
58ac2a2109c66a95b1a6150d0ede99f423ac2526,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,0.0,10.0,0.0,10.5
cedb0697fb5f70757d429fc7546a307fc3fcd7c1,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Unknown,11.2,29.75,0.0,29.75
559c85d064f05744268a904d8daf0faaf8e38984,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,0.16,3.5,0.0,3.5
368e75707edec909aa9a953126b778c249189bce,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Prcard,11.64,30.0,0.0,30.0
c114ec9266e18487ba168a60ccedc851139e9cdc,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,0.0,3.25,0.0,3.25
c0c28ddf9f1944fe5009cf208347712ae1f5b042,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,4.7,13.75,2.85,16.6
896a3665f36b6fb284d00502dec2c8a309078294,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,4.6,13.75,0.0,17.75
4c9d8f6009d0773d9c88aba5fb5dfa0b810a97c2,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,16.33,40.25,7.09,54.34
3298df84ae4cd6b707bf0c8e5cdd224305ea32b0,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,16.77,41.25,9.15,54.9
d923c162818830bb207c08b99869652ce3e4f702,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,13.1,33.0,2.5,39.5
9a6eee52ac1099c54584e67a836bcd829ab6792f,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Credit Card,3.68,12.25,5.0,17.75
779568d7cc5caf2d3eb5330fab0ce8da4ff5ac04,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,17.9,44.5,4.0,53.0
ad4500b18b65efff6a203671ff3edd36fa99390a,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Prcard,13.06,33.0,0.0,33.0
dab88480b1661c11a4db2eaab151694dce8335df,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,14.62,38.25,8.55,51.3
367095c1ef24eacbab5d97cdb964f912bd263027,2023-03-01 00:15:00.000000 UTC,2023-03-01 18:30:00.000000 UTC,Cash,0.76,5.25,0.0,5.25
d219e50f62cbc129515f0df9c9b4880235685129,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Mobile,18.8,46.0,10.1,60.6
da860991e723bfa9da43d33ea78b2d428e0b9cec,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,1.5,7.25,0.0,7.25
57cfb552382b5a06dd79f0094c97470c19470552,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,14.37,36.0,8.2,49.2
cc63bf310f2c9e1ba53b6647967ff064818f0c25,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Cash,3.62,12.5,0.0,12.5
b102d362f9cfac5c8319e5fcbc9999058b1fb3ca,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,0.0,11.75,0.0,11.75
34c169493a5525b98d181f443094b260ef57da89,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,18.81,45.5,10.0,60.0
9df2af6f10f0611415b47ad71308ebeea013a94e,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,9.65,26.5,0.0,30.5
52f050cea66963750a1e8a07b0ac7bafa42cdcea,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,2.01,8.5,0.0,14.5
4f4740305c87cb6203d7ab91f8f6f1fbd7c3ceba,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:15:00.000000 UTC,Prcard,6.97,19.5,0.0,19.5
ba023105a35183a6ddec230dc3a062ec17dc86ca,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,16.8,41.25,11.4,56.65
62824a598c2a76126e9d2f21aa5cec185a9008bd,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Mobile,11.23,29.5,6.8,40.8
75aaaf2e0167d75c8f43bb20481d9a82e9f24055,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,14.2,38.0,0.0,38.0
20e6136214137480844d7690de420672b8ddc78f,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,6.37,17.75,0.36,18.61
954b76a8c77f92ea3eb146526f1f1cad5b5bb89f,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,13.26,35.0,0.0,39.0
8e6c19a34147e13ca54e00c0b1e6d7f8d058d5eb,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,12.85,32.75,7.65,45.9
e6a91e886fbb32621240001e6628b33ed2d828de,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,13.7,34.75,8.05,47.8
5e1b93058d823da9dc8d88cca67a8cc15b1b5629,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,13.8,34.5,5.0,43.5
1601979920a7face551fbe1269db56fff58534af,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,13.85,35.75,6.0,47.25
721a209d035dc90aefd1ceb9e4c8f6614097550c,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,15.4,39.5,8.8,52.8
986cb849cabd11ea315eb704ab2c13ca67bf079d,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,9.9,25.5,6.0,35.5
cb7078626a6b5a7d3d39a937413bdac5dc265a3f,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,0.8,33.75,5.0,42.75
951197e6db581e1454711eb7e942b7a55daf8ed7,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,4.44,14.75,0.0,14.75
839cb08c7b584cd2dced64ad4cb9aca54c844925,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,5.9,17.0,0.0,21.0
86f5938da7d3edf87a3ca0fdbf85fb9e0ce8c929,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,14.2,37.0,8.3,49.3
7513dfaf7155a655017a35b02027e3c74bdb5b0a,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,2.86,10.0,2.34,12.34
30011b06b9bc699a381505bcca6231c6dc072602,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Mobile,2.85,10.17,0.96,11.13
7fddd3f592c9f354446fb1333ea0dc2ca6a9e5ad,2023-03-01 00:15:00.000000 UTC,2023-03-01 01:15:00.000000 UTC,Cash,23.35,59.75,0.0,59.75
721a5243648ea5540479bdbfd9e711494aa4562f,2023-03-01 00:15:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,12.1,31.5,3.0,39.5
606d957884ae8adeedf7e726b43de1f83a3dd986,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,0.0,4.25,2.0,7.25
e2a152a59f4e1bce72ee15d936c7f45345ff71a7,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:15:00.000000 UTC,Credit Card,23.3,56.75,8.0,68.75
28dbe12cc987c7ebfac7277832c685fd8e05bf36,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Unknown,1.1,6.25,0.0,6.25
56d462c86ce8d5c4e474f6fa50cdb028d080dad2,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Credit Card,20.3,51.5,11.6,69.6
e301b6d3ae77a4fe9f0d8447673769cec0e3531d,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Unknown,1.6,8.0,0.0,8.0
0f30a95925c435e645dcdcac6b109a5720f94f65,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,16.22,40.25,11.19,55.94
d1735d5d0f00a3ffab06f5635276672bb7f93128,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Credit Card,0.7,31.5,9.0,44.5
58aace813fb7016fcabcc47c08fe1033a543086e,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Prcard,11.46,30.0,0.0,30.0
2cdfdd1828d7fdad6222b574df5cbeb0bcb467fc,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,13.54,34.25,9.94,49.69
22b0865571ac104e6012f5e30f2ac4489b059a18,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,17.77,43.75,10.0,58.25
85888e8e74830b23bb333a902326d0a7ff0811e8,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,17.5,43.0,9.5,56.5
862d5f4d3aa42fcfd293b36655b68a3034d10a3f,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Credit Card,15.5,38.75,5.0,48.75
10cfa0ce3dc9de54f1ea04cb6b7026095e654248,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:15:00.000000 UTC,Cash,10.32,29.5,0.0,29.5
ab95d018a9315d6c5c913af7ebdb27de12fa0155,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,4.3,13.5,3.5,17.5
8035cdf8b14c0b216541b675adf2aa3080cee7d5,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Credit Card,12.6,33.0,9.35,46.35
b79021663fda44b805b2c6925cbeff5513a4860a,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,17.62,43.0,0.0,48.5
fa6155448a97590db275a834fc15512f7a0e6ecb,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Dispute,6.7,19.0,0.0,23.0
c7813b3906142a9afc4b9576cf108e68536d9d98,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Cash,1.03,6.0,0.0,6.0
aac7f6735b09ec9f63c1857ca85febe22172ec5f,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,4.65,14.25,0.0,18.25
6596e13d00711dde013183f2af1168127c53346f,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Cash,14.9,37.5,0.0,42.5
126e56f4bec6aada76eaecb88f31e193442f2d4f,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:00:00.000000 UTC,Cash,0.0,36.25,0.0,40.25
75beeb7384bbeeb93ff1832736f58dc4781bc54c,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,0.6,26.0,5.0,51.0
c576d7ca587c77f3ec8b7306e91474094ad4fb73,2023-03-01 00:30:00.000000 UTC,2023-03-01 01:15:00.000000 UTC,Cash,7.49,26.25,0.0,26.25
fe14c08a3fa69d4137b1be23982b125abb249202,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,4.19,13.0,0.0,13.0
f9de11fd07e886335f076f1432e29e0b72d88c8e,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,15.52,38.25,8.55,51.3
bfd43be96d65e06e8a959b493e54b056f229a80b,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,1.22,6.5,0.0,6.5
b988f5002fc1900c3c128fc0814b9fa116918ba9,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Cash,5.5,15.5,0.0,15.5
658021511d4ec8943b4c4ffdfe25541cd8f15c5f,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,10.59,27.75,9.25,55.5
a7ff7cd45fa9628517eb4971e92471232f9cd683,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:30:00.000000 UTC,Credit Card,0.51,4.75,2.0,8.25
b875abb90cfe5d5aa3a8ee94f720535eed51cf09,2023-03-01 00:30:00.000000 UTC,2023-03-01 00:45:00.000000 UTC,Credit Card,7.16,19.75,4.85,29.1
